program_name,state,city,zip_codes,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
Duke Energy Florida HVAC Rebate (Smart $aver Residential),Florida,,,Rebates,"Residential (single-family, owner-occupied)",Rebate when Duke Energy Florida residential customers install a qualifying high-efficiency central AC or heat pump system through a participating contractor. Equipment must meet minimum SEER2 / HSPF2 tiers set by the program.,Active Duke Energy Florida residential electric account; installation by a participating contractor; equipment must meet minimum efficiency tier; rebate application within program window after installation.,Up to $325 per qualifying central AC/heat pump unit (tiered by efficiency),,2026-05-20,No,https://www.duke-energy.com/home/products/smart-saver
Duke Energy Florida Home Energy Check,Florida,,,Rebates,Residential,"Free home energy assessment (online, by phone, or in-person) that identifies efficiency upgrades. In-home version includes no-cost direct install of LED bulbs, smart power strips, and weather stripping for qualifying customers.",Duke Energy Florida residential customer; home must be primary residence; one assessment per address per program year.,Free assessment + up to ~$50 in free direct-install measures,,2026-05-20,No,https://www.duke-energy.com/home/products/home-energy-check
Duke Energy Florida EnergyWise Home (Demand Response),Florida,,,Rebates,Residential,Demand-response program: Duke installs a smart device on your AC and/or electric water heater that briefly cycles equipment during peak demand. Participants receive annual bill credits.,Duke Energy Florida residential customer with central AC and/or electric water heater; must agree to participation during peak events; smart meter required.,Up to $137/year in bill credits depending on devices enrolled,,2026-05-20,No,https://www.duke-energy.com/home/products/energywise-home
Duke Energy Florida Income-Qualified Weatherization,Florida,,,Grants,Residential (income-qualified),"No-cost home weatherization improvements — insulation, duct sealing, AC tune-up, and direct-install measures — for income-qualified Duke Energy Florida customers. Coordinated with the federal Weatherization Assistance Program.",Duke Energy Florida residential customer; household income at or below 200% of federal poverty guidelines (or 60% state median income); applies to both owners and renters with owner consent.,Up to several thousand dollars in no-cost weatherization improvements per home,,2026-05-20,No,https://www.duke-energy.com/home/products/income-qualified
Duke Energy Florida Electric Vehicle Charger Rebate (Park & Plug),Florida,,,Rebates,Residential,Rebate to offset the cost of installing a qualifying Level 2 home EV charger. Available to Duke Energy Florida residential customers as part of the Park & Plug program.,Duke Energy Florida residential customer; charger must be on the approved equipment list; receipts required; one rebate per service address.,Up to $500 per qualifying Level 2 charger installation,,2026-05-20,No,https://www.duke-energy.com/home/products/park-and-plug
My Safe Florida Home — Mitigation Grant,Florida,,,Grants,"Single-family residential (owner-occupied, homestead)","Florida-administered hurricane hardening grant. Reimburses $2 of qualifying mitigation work for every $1 the homeowner spends, up to a maximum state contribution of $10,000. Eligible improvements include roof deck attachment, secondary water resistance, roof-to-wall connections, opening protection (impact windows/doors), garage door reinforcement, and exterior door upgrades. Must follow a free wind mitigation inspection.","Site-built single-family home with homestead exemption in Florida; insured value of $700,000 or less; located in the wind-borne debris region OR within 15 miles of the coast with wind speeds of 140 mph or greater; must complete the free MSFH wind mitigation inspection first; income-qualified low- and moderate-income applicants prioritized.","$2 state match per $1 homeowner spend, up to $10,000 in state funds per home",,2026-05-20,No,https://mysafefloridahome.com/grants/
My Safe Florida Home — Free Wind Mitigation Inspection,Florida,,,Grants,Single-family residential,Free wind mitigation inspection by a state-approved inspector. Identifies hurricane vulnerabilities and qualifies the home for the MSFH matching grant. Inspection report can also be submitted to your homeowner's insurance carrier for potential premium discounts under FL Statute 627.0629.,Site-built single-family Florida home; one free inspection per home per program cycle. No income test required for inspection.,"Free inspection (state-funded, valued at ~$150)",,2026-05-20,No,https://mysafefloridahome.com/inspections/
Federal Residential Clean Energy Credit (IRC §25D),Florida,,,Tax Credits,Residential (any home owned and used by the taxpayer),"Non-refundable federal income tax credit equal to 30% of the cost of qualified residential clean-energy property placed in service in the taxpayer's home. Eligible property: solar photovoltaic, solar water heating (non-pool/non-hot-tub), wind turbines, geothermal heat pumps, biomass fuel stoves, and battery storage technology with capacity of 3 kWh or greater. No annual or lifetime dollar cap. Excess credit can carry forward to future tax years. 30% rate runs through 2032, then steps down to 26% (2033) and 22% (2034).","Individual taxpayer; property must be installed on a home located in the United States that the taxpayer uses as a residence (primary or secondary, but not rentals). Must file IRS Form 5695 with federal income tax return. Equipment must be new (not used). Battery storage must be >= 3 kWh.","30% of qualified cost, no cap (30% through 2032; 26% 2033; 22% 2034)",2034-12-31,2026-05-20,No,https://www.irs.gov/credits-deductions/residential-clean-energy-credit
Federal Energy Efficient Home Improvement Credit (IRC §25C),Florida,,,Tax Credits,Residential (primary residence in the U.S.),"Federal income tax credit of 30% of the cost of qualified energy-efficiency improvements and residential energy property expenditures, subject to annual caps. Annual aggregate cap of $1,200 for most items, plus a separate $2,000 annual cap for heat pumps, heat pump water heaters, and biomass stoves. Per-item caps include: $600 for exterior windows/skylights, $250/door (max $500), $600 for central AC, $600 for furnaces/boilers, $150 for home energy audits. Available for tax years 2023 through 2032.","Individual taxpayer; improvement must be made to the taxpayer's principal residence located in the United States. Equipment must meet specified efficiency standards (typically ENERGY STAR Most Efficient or Consortium for Energy Efficiency Tier). Beginning tax year 2025, manufacturers must provide a Product Identification Number (PIN). File IRS Form 5695.","30% of cost; up to $1,200/yr aggregate + $2,000/yr for heat pumps/biomass",2032-12-31,2026-05-20,No,https://www.irs.gov/credits-deductions/energy-efficient-home-improvement-credit
Federal Home Energy Audit Credit (under §25C),Florida,,,Tax Credits,Residential (primary residence),A subset of the §25C Energy Efficient Home Improvement Credit that specifically reimburses 30% of the cost of a qualified home energy audit performed by a certified auditor. Capped at $150 per year. Often the first step homeowners take before pursuing larger §25C improvements.,"Audit must be conducted by a Qualified Home Energy Auditor (certified by an approved certification program — e.g., BPI, RESNET). Audit must include a written report identifying significant and cost-effective energy efficiency improvements and an estimate of savings. Counts toward the §25C $1,200 annual aggregate cap.","30% of audit cost, capped at $150 per tax year",2032-12-31,2026-05-20,No,https://www.irs.gov/credits-deductions/energy-efficient-home-improvement-credit
Florida Hometown Heroes Housing Program,Florida,,,Finance Solutions,Single-family residential (primary residence),"Down payment and closing cost assistance for full-time Florida workforce buying a primary residence. Provided as a 0% non-amortizing second mortgage that is forgiven over time or satisfied at sale, refinance, or end of first mortgage term.","Florida resident, full-time employed by a Florida-based employer (eligibility expanded in 2023 to most workforce occupations); first-time homebuyer (no homeownership in past 3 years); income at or below 150% of area median income; credit score 640+; must use a participating FHFC lender; complete homebuyer education course.","Up to 5% of first mortgage amount, max $35,000 (effective 2023+)",,2026-05-20,No,https://www.floridahousing.org/programs/homebuyer-overview-page/hometown-heroes
Florida Assist Second Mortgage Program (FL Assist),Florida,,,Finance Solutions,Single-family residential (primary residence),"Up to $10,000 down payment and closing cost assistance offered as a 0% interest, deferred-payment second mortgage. Paired with FHFC first mortgage products. Becomes due upon sale, transfer, refinance, or when no longer the primary residence.",First-time homebuyer (no ownership in past 3 years); meet FHFC income and purchase price limits for the county; minimum credit score 640; must use a participating FHFC lender; complete approved homebuyer education.,"Up to $10,000 second mortgage at 0% interest, deferred",,2026-05-20,No,https://www.floridahousing.org/programs/homebuyer-overview-page/fl-assist
Florida HFA Preferred Conventional Loan Program,Florida,,,Finance Solutions,Single-family residential,"Conventional first mortgage with reduced mortgage insurance and below-market interest rate, offered to qualifying Florida first-time homebuyers. Can be combined with FL Assist or Hometown Heroes second mortgage products.",First-time homebuyer; income at or below program limits (varies by county and household size); minimum credit score 640; participating FHFC lender; homebuyer education required.,Below-market 30-year fixed conventional loan + reduced PMI,,2026-05-20,No,https://www.floridahousing.org/programs/homebuyer-overview-page
State Housing Initiatives Partnership (SHIP) — Florida,Florida,,,Grants,"Residential (varies by local SHIP plan: SFH, condo, mobile, etc.)","FHFC distributes SHIP funds annually to all 67 Florida counties and entitlement cities. Each local government adopts its own SHIP Local Housing Assistance Plan (LHAP) defining how funds are used: down payment assistance, owner-occupied rehab, disaster repair, emergency repair, or rental development. Apply through your county / city housing office, not FHFC directly.","Household at or below 120% of area median income (most strategies target 80% AMI or below); Florida resident; specific eligibility set by each LHAP — typically owner-occupied, primary residence, current on property taxes.","Varies by local LHAP — typically up to $50,000 per household for rehab strategies",,2026-05-20,No,https://www.floridahousing.org/programs/special-programs/ship---state-housing-initiatives-partnership-program
HOME Investment Partnerships Program (Florida),Florida,,,Grants,Residential (owner-occupied or rental),"Federal HUD HOME funds administered by FHFC to provide rental housing development, homeownership assistance, and owner-occupied rehabilitation. Distributed through competitive RFAs to developers and local governments rather than direct to homeowners.",Household income at or below 80% of area median income for homeowner programs; specific eligibility set by sub-recipient local government or non-profit administrator.,"Varies by sub-recipient program; commonly up to $50,000 in deferred-payment assistance",,2026-05-20,No,https://www.floridahousing.org/programs/special-programs/home---home-investment-partnership-program-/home-program
Hillsborough County SHIP — Owner-Occupied Housing Rehabilitation,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Grants,"Single-family residential (owner-occupied, homestead)","State Housing Initiatives Partnership (SHIP) funds administered by Hillsborough County's Affordable Housing Services. Provides deferred-payment loans / forgivable grants for owner-occupied housing rehabilitation, including roof replacement, plumbing, electrical, HVAC, accessibility modifications, and code-compliance repairs.",Single-family home located in unincorporated Hillsborough County (or partner jurisdictions per LHAP); homestead exemption; household income at or below 120% of area median income (most applicants are at 80% AMI or below); property taxes current; primary residence.,"Up to $75,000 per household (deferred-payment loan, forgiven after compliance period)",,2026-05-20,No,https://www.hillsboroughcounty.org/en/residents/property-owners-and-renters/housing/financial-assistance
Hillsborough County SHIP — Down Payment Assistance,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Finance Solutions,Single-family residential (primary residence),"Down payment and closing cost assistance for first-time homebuyers purchasing a primary residence in Hillsborough County. Provided as a 0% interest, deferred-payment second mortgage, forgiven after the affordability period.",First-time homebuyer (no ownership in past 3 years); household income at or below 120% AMI; property must be in Hillsborough County; complete approved homebuyer education; primary residence only.,"Up to $40,000 in down payment / closing-cost assistance (forgivable)",,2026-05-20,No,https://www.hillsboroughcounty.org/en/residents/property-owners-and-renters/housing/financial-assistance
Hillsborough County CDBG — Owner-Occupied Housing Rehabilitation,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Grants,Single-family residential (owner-occupied),"Federal Community Development Block Grant (CDBG) funds used by Hillsborough County for owner-occupied housing rehabilitation, including code-compliance repairs, accessibility upgrades for elderly or disabled residents, and emergency repairs. Coordinated with SHIP funds when available.",Single-family home in CDBG-eligible census tracts within Hillsborough County (low- and moderate-income areas); household income at or below 80% AMI; owner-occupied primary residence; property taxes and insurance current.,"Typically up to $50,000 per home (varies by funding cycle)",,2026-05-20,No,https://www.hillsboroughcounty.org/en/residents/property-owners-and-renters/housing
Hillsborough County Emergency Home Repair Program,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Grants,"Single-family residential (owner-occupied, elderly/disabled prioritized)","Emergency grants for low-income Hillsborough County homeowners facing urgent, hazardous home conditions — roof leaks, plumbing failures, electrical hazards, AC failures during heat advisories. Designed for quick turnaround vs the full rehab program.",Hillsborough County resident; owner-occupied primary residence; household income at or below 80% AMI; elderly (62+) or disabled members prioritized; demonstrated emergency hazard.,"Up to $15,000 per emergency repair (grant, not loan)",,2026-05-20,No,https://www.hillsboroughcounty.org/en/residents/property-owners-and-renters/housing/financial-assistance
Hillsborough County Mobile Home Repair Program,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Grants,Mobile home / manufactured home (owner-occupied),"Targeted rehabilitation program for owner-occupied mobile and manufactured homes that do not qualify for the standard SHIP rehab strategy. Funds tie-down upgrades, roof repair, plumbing, electrical, and code-required improvements.",Mobile or manufactured home owner; located in Hillsborough County; primary residence; household income at or below 80% AMI; home must be on owned land or in an approved cooperative park.,"Up to $20,000 per mobile home (deferred-payment loan, forgivable)",,2026-05-20,No,https://www.hillsboroughcounty.org/en/residents/property-owners-and-renters/housing/financial-assistance
