program_name,state,city,zip_codes,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
Hillsborough County Homeowner Repair and Reconstruction Program (HRRP),Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Grants,"Single-family residential (owner-occupied primary residence). Eligible types: wood-built, detached structures, concrete block, duplex, triplex, quadplex, and mobile/manufactured homes.","Hillsborough County's $211M CDBG-DR program to repair, rebuild, or reimburse storm-damaged single-family homes affected by Hurricanes Helene and/or Milton (2024). Currently accepting applications. Three award pathways: Storm Damage Repair (up to $150K), Reconstruction & Replacement (up to $350K), or Repair Reimbursement (up to $50K, minimum $10K). Residents anywhere in Hillsborough County qualify — including City of Tampa, Temple Terrace, and Plant City.","Home located in Hillsborough County. Applicant is the homeowner (not renter or landlord). Eligible structures only: SFH, duplex, triplex, quadplex, mobile/manufactured. Ineligible: campers, sheds, outbuildings, houseboats, structures with 5+ units. Property must NOT be in a regulatory floodway. Primary residence (lived there before storm and continue to live there). Household income up to 120% of AMI (priority to <=80% AMI). AMI thresholds by household size: 1=$58,450/$87,600; 2=$66,800/$100,080; 3=$75,150/$112,680; 4=$83,450/$125,160; 5=$90,150/$135,240; 6=$96,850/$145,200; 7=$103,500/$155,280; 8+=$110,200/$165,240.","Storm Damage Repair: up to $150,000 or 50% of pre-storm value; Reconstruction & Replacement: up to $350,000; Repair Reimbursement: $10,000-$50,000 for verified completed repairs",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/H/SFH/?id=cf6516e0-9f24-f111-8341-7ced8d6f4b5b
Hillsborough CDBG-DR Infrastructure: Channel Improvement Projects,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $40,700,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$40,700,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=f96dfa62-5233-f111-88b4-00224802b826&type=Draft
Hillsborough CDBG-DR Infrastructure: Brushy Creek Restoration,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $2,500,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$2,500,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=f494ed4e-1638-f111-88b4-00224802bbd5&type=Draft
Hillsborough CDBG-DR Infrastructure: Town 'N' Country Regional Drainage Improvement Project (Lower Sweetwater Creek Watershed),Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $5,600,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$5,600,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=f801139d-851c-f111-8341-00224802b2c6&type=Draft
Hillsborough CDBG-DR Infrastructure: Town 'N Country/Jackson Springs Drainage Improvements,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $411,719. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$411,719",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=eab00738-e41b-f111-8341-00224802be8c&type=Draft
Hillsborough CDBG-DR Infrastructure: Kracker Avenue Coastal Habitat Restoration Project,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $2,000,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$2,000,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=aee7d0b8-1838-f111-88b4-00224802bbd5&type=Draft
Hillsborough CDBG-DR Infrastructure: Shangri-La Permanent Pump Station,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $325,312. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$325,312",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=23fd1cbc-f71b-f111-8341-00224802be8c&type=Draft
Hillsborough CDBG-DR Infrastructure: 76th Street Drainage Improvements Project,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $8,000,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$8,000,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=bcedfbd0-1a38-f111-88b4-00224802bbd5&type=Draft
Hillsborough CDBG-DR Infrastructure: Casey Road at Lowell Road Drainage Improvements,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $520,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$520,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=3c38ea60-fc1b-f111-8341-00224802b2c6&type=Draft
Hillsborough CDBG-DR Infrastructure: University Area Drainage Improvements,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $1,095,718. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$1,095,718",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=b1f15d98-152d-f111-88b4-00224802b9c0&type=Draft
Hillsborough CDBG-DR Infrastructure: Falkenburg - Six Mile Creek Road Drainage Improvements,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $930,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$930,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=1918f5a5-821c-f111-8341-00224802b2c6&type=Draft
Hillsborough CDBG-DR Infrastructure: Front Street Drainage Improvements,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $1,629,494. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$1,629,494",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=6ac70103-f01b-f111-8341-00224802be8c&type=Draft
Hillsborough CDBG-DR Infrastructure: Local Stormwater System Restoration,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $1,800,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$1,800,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=e10878d3-901c-f111-8341-00224802b2c6&type=Draft
Hillsborough CDBG-DR Infrastructure: Pettie Road Drainage Improvements,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $3,900,000. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$3,900,000",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=5437134a-1a38-f111-88b4-00224802bbd5&type=Draft
Hillsborough CDBG-DR Infrastructure: Seffer / Mango Drainage Improvements,Florida,,"33510,33511,33527,33534,33547,33548,33549,33550,33556,33558,33559,33563,33565,33566,33567,33569,33570,33572,33573,33578,33579,33584,33592,33594,33596,33598,33602,33603,33604,33605,33606,33607,33609,33610,33611,33612,33613,33614,33615,33616,33617,33618,33619,33620,33621,33624,33625,33626,33629,33634,33635,33637,33647",Investments,Public infrastructure (community-wide benefit),"Approved Hillsborough County CDBG-DR infrastructure investment funded by the post-Hurricane Helene/Milton $211M+ Rebuilding for Tomorrow program. Total Board of County Commissioners–approved amount: $679,521. Reduces future flood risk and protects residential and business areas.","Community-wide benefit; residents of affected service areas receive indirect benefit via reduced flooding, improved drainage, or restored utilities. No direct homeowner application.","$679,521",,2026-05-20,No,https://rebuildingfortomorrow.hcfl.gov/projectdetails/?id=64881de7-eb1b-f111-8341-00224802be8c&type=Draft
